Year,Month,ProvinceID,ProvinceName,Tmax,Tmin
2018,4,47,สกลนคร,39.5,17.7
2018,4,48,นครพนม,38.9,18.4
2018,4,49,มุกดาหาร,39.6,18
2018,4,50,เชียงใหม่,39.8,14.1
2018,4,51,ลำพูน,39.8,19.9
2018,4,52,ลำปาง,41.6,18.2
2018,4,53,อุตรดิตถ์,39.5,21.2
2018,4,54,แพร่,39.7,19.5
2018,4,55,น่าน,39.2,15.9
2018,4,56,พะเยา,37,16.5
2018,4,57,เชียงราย,36.5,16.2
2018,4,58,แม่ฮ่องสอน,41.2,18.1
2018,4,60,นครสวรรค์,40.3,20.6
2018,4,62,กำแพงเพชร,39.4,21.2
2018,4,63,ตาก,41,14.5
2018,4,64,สุโขทัย,40.5,21
2018,4,65,พิษณุโลก,39.3,21.6
2018,4,66,พิจิตร,38.5,21.8
2018,4,67,เพชรบูรณ์,40.6,19.5
2018,4,70,ราชบุรี,38.5,21.4
2018,4,71,กาญจนบุรี,41.3,20
2018,4,72,สุพรรณบุรี,39.9,21.4
2018,4,73,นครปฐม,38.9,19.5
2018,4,76,เพชรบุรี,37.1,22.5
2018,4,77,ประจวบคีรีขันธ์,37.2,19.8
2018,4,80,นครศรีธรรมราช,37.5,22.5
2018,4,81,กระบี่,37.5,19.8
2018,4,82,พังงา,34.7,22.8
2018,4,83,ภูเก็ต,37.1,21.9
2018,4,84,สุราษฎร์ธานี,36.9,22.3
2018,4,85,ระนอง,35.8,23
2018,4,86,ชุมพร,35.5,22
2018,4,90,สงขลา,36.3,22
2018,4,91,สตูล,37.1,22.7
2018,4,92,ตรัง,36.9,23.2
2018,4,93,พัทลุง,35.7,23.6
2018,4,94,ปัตตานี,36.2,22.7
2018,4,95,ยะลา,36.2,21.6
2018,4,96,นราธิวาส,34.3,20.5
2018,5,10,กรุงเทพมหานคร,36.7,22.9
2018,5,11,สมุทรปราการ,33.4,25
2018,5,13,ปทุมธานี,37.7,24.2
2018,5,14,พระนครศรีอยุธยา,37.5,22.5
2018,5,16,ลพบุรี,37.4,23.2
2018,5,18,ชัยนาท,37.4,23.5
2018,5,20,ชลบุรี,36.8,22.4
2018,5,21,ระยอง,34.8,23.8
2018,5,22,จันทบุรี,35.4,23
2018,5,23,ตราด,34.5,23.3
2018,5,24,ฉะเชิงเทรา,36.5,22.3
2018,5,25,ปราจีนบุรี,37.6,23.6
2018,5,27,สระแก้ว,36.8,24.2
2018,5,30,นครราชสีมา,37.1,21.6
2018,5,31,บุรีรัมย์,37.5,22.1
2018,5,32,สุรินทร์,38.8,23.5
2018,5,33,ศรีสะเกษ,37.6,23.8
2018,5,34,อุบลราชธานี,37.5,22.2
2018,5,36,ชัยภูมิ,36.2,22.6
2018,5,40,ขอนแก่น,37.1,22.5
